time: 2000000000
23 1 1
23 2 1
23 3 1
23 4 1
23 5 1
23 6 1
24 1 1
24 2 1
24 3 1
24 4 1
25 1 1
25 2 1
25 3 1
25 4 1
26 1 1
26 2 1
26 3 1
26 4 1
27 1 1
27 2 1
27 3 1
27 4 1
27 5 1
27 6 1
28 1 1
28 2 1
28 3 1
28 4 1
28 5 1
28 6 1
29 1 1
29 2 1
29 3 1
29 4 1
30 1 1
30 2 1
30 3 1
30 4 1
30 5 1
30 6 1
30 7 1
31 1 1
31 2 1
31 3 1
32 1 1
32 2 1
32 3 1
32 4 1
33 1 1
33 2 1
33 3 1
33 4 1
33 5 1
33 6 1
34 1 1
34 2 1
34 3 1
34 4 1
35 1 1
35 2 1
35 3 1
35 4 1
36 1 1
36 2 1
36 3 1
37 1 1
37 2 1
37 3 1
37 4 1
38 1 1
38 2 1
38 3 1
39 1 1
39 2 1
39 3 1
39 4 1
40 1 1
40 2 1
40 3 1
40 4 1
40 5 1
41 1 1
41 2 1
41 3 1
42 1 1
42 2 1
43 1 1
43 2 1
43 3 1
44 1 1
44 2 1
44 3 1
45 1 1
45 2 1
45 3 1
