time: 2000000000
128 1 1
128 2 1
128 3 1
128 4 1
128 5 1
128 6 1
128 7 1
128 8 1
129 1 1
129 2 1
129 3 1
129 4 1
129 5 1
129 6 1
129 7 1
129 8 1
130 1 1
130 2 1
130 3 1
130 4 1
130 5 1
130 6 1
130 7 1
130 8 1
131 1 1
131 2 1
131 3 1
131 4 1
131 5 1
131 6 1
131 7 1
131 8 1
132 1 1
132 2 1
132 3 1
132 4 1
132 5 1
132 6 1
132 7 1
132 8 1
133 1 1
133 2 1
133 3 1
133 4 1
133 5 1
133 6 1
133 7 1
133 8 1
134 1 1
134 2 1
134 3 1
134 4 1
134 5 1
134 6 1
134 7 1
134 8 1
135 1 1
135 2 1
135 3 1
135 4 1
135 5 1
135 6 1
135 7 1
135 8 1
136 1 1
136 2 1
136 3 1
136 4 1
136 5 1
136 6 1
136 7 1
136 8 1
137 1 1
137 2 1
137 3 1
137 4 1
137 5 1
137 6 1
137 7 1
137 8 1
138 1 1
138 2 1
138 3 1
138 4 1
138 5 1
138 6 1
138 7 1
138 8 1
139 1 1
139 2 1
139 3 1
139 4 1
139 5 1
139 6 1
139 7 1
139 8 1
140 1 1
140 2 1
140 3 1
140 4 1
140 5 1
140 6 1
140 7 1
140 8 1
141 1 1
141 2 1
141 3 1
141 4 1
141 5 1
141 6 1
141 7 1
141 8 1
142 1 1
142 2 1
142 3 1
142 4 1
142 5 1
142 6 1
142 7 1
142 8 1
143 1 1
143 2 1
143 3 1
143 4 1
143 5 1
143 6 1
143 7 1
143 8 1
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
144 7 1
144 8 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
145 7 1
145 8 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
146 7 1
146 8 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
147 7 1
147 8 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
148 7 1
148 8 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
149 7 1
149 8 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
150 7 1
150 8 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
151 7 1
151 8 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
152 7 1
152 8 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
153 7 1
153 8 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
154 7 1
154 8 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
155 7 1
155 8 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
156 7 1
156 8 1
157 1 1
157 2 1
157 3 1
157 4 1
157 5 1
157 6 1
157 7 1
157 8 1
158 1 1
158 2 1
158 3 1
158 4 1
158 5 1
158 6 1
158 7 1
158 8 1
159 1 1
159 2 1
159 3 1
159 4 1
159 5 1
159 6 1
159 7 1
159 8 1
160 1 1
160 2 1
160 3 1
160 4 1
160 5 1
160 6 1
160 7 1
160 8 1
161 1 1
161 2 1
161 3 1
161 4 1
161 5 1
161 6 1
161 7 1
161 8 1
162 1 1
162 2 1
162 3 1
162 4 1
162 5 1
162 6 1
162 7 1
162 8 1
163 1 1
163 2 1
163 3 1
163 4 1
163 5 1
163 6 1
163 7 1
163 8 1
164 1 1
164 2 1
164 3 1
164 4 1
164 5 1
164 6 1
164 7 1
164 8 1
165 1 1
165 2 1
165 3 1
165 4 1
165 5 1
165 6 1
165 7 1
165 8 1
166 1 1
166 2 1
166 3 1
166 4 1
166 5 1
166 6 1
166 7 1
166 8 1
167 1 1
167 2 1
167 3 1
167 4 1
167 5 1
167 6 1
167 7 1
167 8 1
168 1 1
168 2 1
168 3 1
168 4 1
168 5 1
168 6 1
168 7 1
168 8 1
169 1 1
169 2 1
169 3 1
169 4 1
169 5 1
169 6 1
169 7 1
